"","Plot","Plant_sp","Plant_id","Mean_fruit_set","Mean_N_seeds","N_flowers","N_seeds_plant","N_seeds_sc","Mean_N_seeds_sc","N_flowers_sc"
"261","D","CLIB","410",0.697647058823529,13.5,47,442.657058823529,0.0387684396447872,0.534883720930233,0.0521844660194175
"262","D","HCOM","151",0.310882352941176,2.2,132,90.2802352941177,0.0270592541998835,0.181818181818182,0.063794068270845
"263","D","HCOM","152",0.244535464535465,2.9,721,511.299202797203,0.155631927944061,0.350267379679144,0.393396754336877
"264","D","HCOM","153",0.27969696969697,2.9,310,251.447575757576,0.0762772645107208,0.350267379679144,0.163402350307778
"265","D","HCOM","154",0.227361853832442,2.6,154,91.0356862745098,0.0272899572321191,0.27807486631016,0.0761052042529379
"266","D","HCOM","155",0.374635854341737,1.9,157,111.75387535014,0.0336169713815984,0.109625668449198,0.0777839955232233
"267","D","HCOM","156",0.1,2.8,657,183.96,0.0556676038317143,0.32620320855615,0.357582540570789
"268","D","HCOM","157",0.272229437229437,4.1,1010,1127.3020995671,0.343749674613713,0.63903743315508,0.55512031337437
"269","D","HCOM","158",0.362037037037037,2.4,184,159.875555555556,0.0483125874146865,0.229946524064171,0.0928931169557918
"270","D","HCOM","159",0.04,3,27,3.24,0.000478514045925916,0.374331550802139,0.00503637381085618
"271","D","HCOM","160",0.135319255907491,2.7,596,217.755746606335,0.0659883015620971,0.302139037433155,0.323447118074986
"272","D","HCOM","161",0.05,2.875,278,39.9625,0.0116929969457633,0.344251336898396,0.145495243424734
"273","D","HCOM","162",0.400915750915751,2.5,313,313.716575091575,0.0952932527528373,0.254010695187166,0.165081141578064
"274","D","HCOM","163",0.204473304473304,2.8,108,61.8327272727273,0.0183718257228225,0.32620320855615,0.0503637381085618
"275","D","HCOM","164",0.416539343009931,2.9,626,756.185523300229,0.230416418479435,0.350267379679144,0.34023503077784
"276","D","HCOM","165",0.252836072536884,2.5,238,150.437463159446,0.0454303401335031,0.254010695187166,0.123111359820929
"277","D","HHAL","516",0.466666666666667,35,2,32.6666666666667,0.000515278361077908,0.647948164146868,0.000496031746031746
"278","D","HHAL","517",0.33548951048951,25,57,478.072552447552,0.0123863825769208,0.431965442764579,0.0277777777777778
"279","D","HHAL","518",0.61825311942959,24.8,74,1134.61812477718,0.0298848511881088,0.427645788336933,0.0362103174603175
"280","D","HHAL","519",0.793333333333333,25.6,84,1705.984,0.0451130824860739,0.444924406047516,0.0411706349206349
"281","D","HHAL","520",0.555493827160494,29.2,48,778.580148148148,0.0203956098909242,0.52267818574514,0.0233134920634921
"282","D","HHAL","521",0.650694444444444,23.2,77,1162.40055555556,0.0306253176742247,0.393088552915767,0.0376984126984127
"283","D","HHAL","522",0.788060731538992,31.3,195,4809.92867494824,0.127840437226617,0.568034557235421,0.0962301587301587
"284","D","HHAL","523",0.775452744765139,25.4,153,3013.56445670628,0.0799631470399936,0.44060475161987,0.0753968253968254
"285","D","HHAL","524",0.647008547008547,16.6111111111111,103,1106.99567901235,0.0291486486752122,0.250779937604992,0.0505952380952381
"286","D","HHAL","525",0.773291925465838,35.7,155,4279.01086956522,0.113690241194297,0.663066954643629,0.0763888888888889
"287","D","HHAL","526",0.548888888888889,37.4,66,1354.87733333333,0.0357552720845121,0.699784017278618,0.0322420634920635
"288","D","HHAL","527",0.641169288228112,46.6,278,8306.21989513754,0.221024741181283,0.898488120950324,0.137400793650794
"289","D","HHAL","528",0.676666666666667,24.2,37,605.887333333333,0.0157929441708703,0.414686825053996,0.0178571428571429
"290","D","HHAL","529",0.537926887926888,17.3,376,3499.10682058682,0.0929039818759035,0.265658747300216,0.186011904761905
"291","D","HHAL","530",0.849417989417989,23.2,186,3665.40850793651,0.0973363091639399,0.393088552915767,0.091765873015873
"292","D","LPED","306",0.15400217748949,1.7,152,39.7941626632843,0.0238806122315792,0.333333333333333,0.0781563126252505
"293","D","LPED","307",0.230121961371961,2.2,168,85.0530769230769,0.0559430056847399,0.571428571428572,0.0888443553774215
"294","D","LPED","308",0.446340795427483,2.1,239,224.018445225054,0.154389077309123,0.523809523809524,0.13627254509018
