"","Plot","Plant_sp","Plant_id","Mean_N_seeds","Mean_fruit_set","N_flowers","N_seeds_plant","N_seeds_sc"
"96","B","HCOM","123",2.3,0.213100415923945,472,231.341811527035,0.0701372754263295
"97","B","HCOM","124",1.9,0.244047619047619,187,86.710119047619,0.0259689959768107
"98","B","HCOM","125",2.4,0.28192007797271,264,178.624561403509,0.054038243496675
"99","B","HCOM","126",2,0.399555130859479,882,704.81525083612,0.214728732670769
"100","B","HCOM","127",3.5,0.338474025974026,387,458.463068181818,0.139496590531364
"101","B","HCOM","128",2.7,0.251578947368421,659,447.634421052632,0.136189689365631
"102","B","HCOM","129",2.8,0.217186147186147,79,48.0415757575758,0.014160221588144
"103","B","HCOM","130",3.6,0.355304695304695,139,177.79446953047,0.0537847462915421
"104","B","HCOM","131",1.44444444444444,0.0631818181818182,188,17.1573737373737,0.00472866449288416
"105","B","HCOM","132",2.8,0.428388746803069,1054,1264.26086956522,0.385574762342671
"106","B","HCOM","133",2.5,0.136935064935065,929,318.031688311688,0.0966110215163425
"107","B","HCOM","134",2.7,0.267316017316017,219,158.063961038961,0.047759354499504
"108","B","HCOM","135",3.2,0.301212121212121,320,308.441212121212,0.0936822385838245
"109","B","HHAL","486",33.9,0.604699248120301,535,10967.1279135338,0.292195665636282
"110","B","HHAL","487",30.2,0.627505173189384,217,4112.29240197931,0.109563235257296
"111","B","HHAL","488",14.4,0.427267526523819,921,5666.5928437695,0.150974246031339
"112","B","HHAL","489",31.5,0.428560606060606,245,3307.41647727273,0.0881190377948015
"113","B","HHAL","490",25.2857142857143,0.535714285714286,1,13.5459183673469,0.000360902021496192
"114","B","HHAL","491",41.2,0.482205513784461,48,953.60962406015,0.0254068887548551
"115","B","HHAL","492",37.8,0.839285714285714,4,126.9,0.00338097907324365
"116","B","HHAL","493",30.6,0.527958785853523,944,15250.8286716792,0.406325709917822
"117","B","HHAL","494",32.1,0.89292970187707,417,11952.4891104159,0.318448507135451
"118","B","HHAL","495",30.4,0.554024844720497,201,3385.31341118012,0.0901944349847996
"119","B","HHAL","496",19,0.364255404725993,351,2429.21929411765,0.0647213522279864
"120","B","HHAL","497",17.4,0.58026418026418,199,2009.22275058275,0.0535314426572523
"121","B","HHAL","498",26.5,0.759764170920358,90,1812.03754764505,0.0482778646849461
"122","B","HHAL","499",23.1,0.889219348659004,99,2033.55572844828,0.0541797428066065
"123","B","HHAL","500",25.2631578947368,0.663509102076108,107,1793.56986750678,0.0477858328482334
"124","B","LPED","276",1.7,0.181152841686357,212,65.2874841437632,0.0456429553030503
"125","B","LPED","277",2.1,0.265594965675057,35,19.5212299771167,0.0133464420518981
"126","B","LPED","278",1.7,0.237508961345341,112,45.2217062401529,0.0314828569126753
"127","B","LPED","279",2.9,0.341156270200388,110,108.828850193924,0.0763694006112424
"128","B","LPED","280",2.2,0.325689518876925,186,133.272151124438,0.0936186469561524
"129","B","LPED","281",2.5,0.276128481581312,119,82.1482232704403,0.0575413091129586
"130","B","LPED","282",2.2,0.289656494176618,98,62.4499401444789,0.0436405459068188
"131","B","LPED","284",2,0.392061212814645,346,271.306359267735,0.191027178932125
"132","B","LPED","285",1.9,0.227895329924399,150,64.9501690284538,0.0454049174236177
"133","B","LPED","286",2,0.267084351223007,83,44.3360023030191,0.0308578298165515
"134","B","LPED","287",2.1,0.17103473683783,378,135.76737410187,0.0953794858848044
"135","B","LPED","288",2.7,0.250291912386816,187,126.372386564103,0.0887495935103262
"136","B","LPED","289",2.2,0.347085464444811,237,180.970361161524,0.127278510551493
"137","B","LPED","290",2.2,0.22594484482046,85,42.2516859814261,0.0293869611399321
"138","B","ROFF","16",3,0.874761904761905,12141,31861.4528571429,0.975123163846955
"139","B","ROFF","17",1,0.912380952380952,1742,1589.36761904762,0.0469309750842382
"140","B","ROFF","18",1,0.724285714285714,971,703.281428571429,0.0197621073269715
"141","B","ROFF","19",2,0.866944444444444,1008,1747.76,0.0517875473884981
"142","B","ROFF","20",2.8,0.658412698412698,2911,5366.59022222222,0.162746865793762
"143","B","ROFF","21",2.9,0.782011278195489,2880,6531.35819548872,0.198460577816033
"144","B","ROFF","22",1.75,0.647002923976608,1884,2133.16864035088,0.0636048135808237
"145","B","ROFF","23",3.6,0.623571428571429,1702,3820.74685714286,0.115348752144436
"146","B","ROFF","24",2.6,0.752857142857143,2967,5807.69057142857,0.176271731866702
"147","B","ROFF","25",3,0.583928571428571,214,374.882142857143,0.00969284221365633
"148","B","ROFF","26",3,0.7475,2940,6592.95,0.200349084385353
"149","B","ROFF","27",2.77777777777778,0.822380952380952,2943,6722.96428571429,0.204335537365992
"150","B","ROFF","28",3.1,0.697619047619048,2825,6109.39880952381,0.185522605325955
"151","B","ROFF","29",2.5,0.819404761904762,1366,2798.26726190476,0.0839978370685579
"152","B","ROFF","30",2,0.857309941520468,3190,5469.63742690058,0.165906463479353
"153","B","SGEN","226",0,0.471965977398915,223,0,0
"154","B","SGEN","227",0.666666666666667,0.297326264717569,125,24.7771887264641,0.0333588810577217
"155","B","SGEN","228",0,0.251659438184905,43,0,0
"156","B","SGEN","229",2,0.404466645618695,55,44.4913310180565,0.0599011064538504
"157","B","SGEN","230",0,0.155327711504182,115,0,0
"158","B","SGEN","231",0,0.188285164083351,236,0,0
"159","B","SGEN","233",0.4,0.450571884256095,140,25.2320255183413,0.0339712526471063
"160","B","SGEN","234",0.5,0.430856565437846,533,114.823274689186,0.154592839619593
"161","B","SGEN","235",0,0.269127314707682,187,0,0
"162","B","TMAS","578",1.5,0.0259910489716783,250,9.74664336437935,0.020272749037175
"163","B","TMAS","582",1.16666666666667,0.0136577491682907,727,11.5840475862386,0.0240944990773716
"164","B","TMAS","583",1,0.00158730158730159,34,0.053968253968254,0.000112252477880892
"165","B","TMAS","584",1,0.0758715681028966,159,12.0635793283606,0.0250919118583631
"166","B","TMAS","585",1.33333333333333,0.0458069062720226,78,4.76391825229035,0.0099088184056532
"167","C","AVEL","436",0.224627686156922,0.224627686156922,43,9.65899050474763,0.127891171581245
"168","C","AVEL","437",0.283119658119658,0.283119658119658,45,12.7403846153846,0.180818136628698
"169","C","CLIB","469",11.8,0.696666666666667,21,172.634,0.0139329765875542
"170","C","CLIB","470",6.6,0.264935064935065,17,29.7257142857143,0.000788938201005942
