ID;Plot;Plant_sp;Plant_sp_complete;Plant_id;N_fruit;N_seeds;Weight;predated_seeds;Antagonist_collected;Notes;Num_fruit;Num_seeds;Seeds_depredadas;Promedio
27;A;HCOM;Halimium_commutatum;117;2;4;;;;Blanquecinas;;;;
27;A;HCOM;Halimium_commutatum;117;3;5;;;;;;;;
27;A;HCOM;Halimium_commutatum;117;4;4;;;;;;;;
27;A;HCOM;Halimium_commutatum;117;5;3;;;;;;;;
27;A;HCOM;Halimium_commutatum;117;6;5;;;;;;;;
27;A;HCOM;Halimium_commutatum;117;7;2;;;;;;;;
27;A;HCOM;Halimium_commutatum;117;8;3;;;;;;;;
27;A;HCOM;Halimium_commutatum;117;9;5;;;;;;;;
27;A;HCOM;Halimium_commutatum;117;10;3;;;;;;;;
28;A;HCOM;Halimium_commutatum;118;1;3;;;;;;;;
28;A;HCOM;Halimium_commutatum;118;2;3;;;;;;;;
28;A;HCOM;Halimium_commutatum;118;3;6;;;;;;;;
28;A;HCOM;Halimium_commutatum;118;4;3;;;;;;;;
28;A;HCOM;Halimium_commutatum;118;5;4;;;;;;;;
28;A;HCOM;Halimium_commutatum;118;6;6;;;;;;;;
28;A;HCOM;Halimium_commutatum;118;7;3;;;;;;;;
28;A;HCOM;Halimium_commutatum;118;8;4;;;;;;;;
28;A;HCOM;Halimium_commutatum;118;9;3;;;;;;;;
28;A;HCOM;Halimium_commutatum;118;10;2;;;;;;;;
29;A;HCOM;Halimium_commutatum;119;1;3;;;;Blancas con hongos;;;;
29;A;HCOM;Halimium_commutatum;119;2;2;;;;;;;;
29;A;HCOM;Halimium_commutatum;119;3;3;;;;;;;;
29;A;HCOM;Halimium_commutatum;119;4;1;;;;Blancas con hongos;;;;
29;A;HCOM;Halimium_commutatum;119;5;2;;;;Blancas con hongos;;;;
29;A;HCOM;Halimium_commutatum;119;6;2;;;;Blancas con hongos;;;;
29;A;HCOM;Halimium_commutatum;119;7;3;;;;Blancas con hongos;;;;
29;A;HCOM;Halimium_commutatum;119;8;1;;;;;;;;
29;A;HCOM;Halimium_commutatum;119;9;4;;;;;;;;
29;A;HCOM;Halimium_commutatum;119;10;3;;;;;;;;
30;A;HCOM;Halimium_commutatum;120;1;3;;;;;;;;
30;A;HCOM;Halimium_commutatum;120;2;3;;;;;;;;
30;A;HCOM;Halimium_commutatum;120;3;3;;;;;;;;
30;A;HCOM;Halimium_commutatum;120;4;3;;;;;;;;
30;A;HCOM;Halimium_commutatum;120;5;5;;;;Blanquecinas;;;;
30;A;HCOM;Halimium_commutatum;120;6;4;;;;;;;;
30;A;HCOM;Halimium_commutatum;120;7;3;;;;;;;;
30;A;HCOM;Halimium_commutatum;120;8;1;;;;;;;;
30;A;HCOM;Halimium_commutatum;120;9;5;;;;;;;;
30;A;HCOM;Halimium_commutatum;120;10;5;;;;Blanquecinas;;;;
31;A;ROFF;Rosmarinus_officinalis;236;;;;;;;;;;
32;A;ROFF;Rosmarinus_officinalis;237;;;;;;;;;;
33;A;ROFF;Rosmarinus_officinalis;238;;;;;;;;;;
34;A;ROFF;Rosmarinus_officinalis;239;;;;;;;;;;
35;A;ROFF;Rosmarinus_officinalis;240;;;;;;;;;;
36;A;SGEN;Stauracanthus_genistoides;241;Open;2,6;;;;;15;39;;2,6
36;A;SGEN;Stauracanthus_genistoides;241;1;1;;;;;;;;
36;A;SGEN;Stauracanthus_genistoides;241;2;3;;;;;;;;
37;A;SGEN;Stauracanthus_genistoides;242;All;3,5;;;;;14;49;;3,5
38;A;SGEN;Stauracanthus_genistoides;243;Open;2,066666667;;;;;15;31;;2,066666667
38;A;SGEN;Stauracanthus_genistoides;243;1;1;;;;;;;;
39;A;SGEN;Stauracanthus_genistoides;244;Open;1,727272727;;;;;11;19;;1,727272727
39;A;SGEN;Stauracanthus_genistoides;244;1;0;;;;;;;;
39;A;SGEN;Stauracanthus_genistoides;244;2;0;;;;;;;;
39;A;SGEN;Stauracanthus_genistoides;244;3;0;;;;;;;;
39;A;SGEN;Stauracanthus_genistoides;244;4;0;;1;;;;;;
40;A;SGEN;Stauracanthus_genistoides;245;All;3,066666667;;;;;15;46;;3,066666667
41;A;SGEN;Stauracanthus_genistoides;246;All;1,4;;;;;15;21;;1,4
42;A;SGEN;Stauracanthus_genistoides;247;Open;2,733333333;;;1;Crisálida;15;41;;2,733333333
42;A;SGEN;Stauracanthus_genistoides;247;1;0;;;;;;;;
43;A;SGEN;Stauracanthus_genistoides;248;Open;2,083333333;;;;;12;25;;2,083333333
43;A;SGEN;Stauracanthus_genistoides;248;1;1;;;;;;;;
43;A;SGEN;Stauracanthus_genistoides;248;2;0;;;;"Restos crisálida; agujerito";;;;
43;A;SGEN;Stauracanthus_genistoides;248;3;;;;;;;;;
44;A;SGEN;Stauracanthus_genistoides;249;All;2,75;;;;;16;44;;2,75
45;A;SGEN;Stauracanthus_genistoides;250;All;2,625;;;1;Crisálida;16;40;2;2,625
46;A;SGEN;Stauracanthus_genistoides;Y;Open;2,6;;;7;;15;39;;2,6
46;A;SGEN;Stauracanthus_genistoides;Y;1;0;;;;"Restos crisálida; agujerito";;;;
47;A;LPED;Lavandula_pedunculata;261;;;;;;;;;;
48;A;LPED;Lavandula_pedunculata;262;;;;;;;;;;
49;A;LPED;Lavandula_pedunculata;263;;;;;;;;;;
50;A;LPED;Lavandula_pedunculata;264;;;;;;;;;;
51;A;LPED;Lavandula_pedunculata;265;;;;;;;;;;
52;A;LPED;Lavandula_pedunculata;266;;;;;;;;;;
53;A;LPED;Lavandula_pedunculata;267;;;;;;;;;;
54;A;LPED;Lavandula_pedunculata;268;;;;;;;;;;
55;A;LPED;Lavandula_pedunculata;269;;;;;;;;;;
56;A;LPED;Lavandula_pedunculata;270;;;;;;;;;;
57;A;LPED;Lavandula_pedunculata;271;;;;;;;;;;
58;A;LPED;Lavandula_pedunculata;272;;;;;;;;;;
59;A;LPED;Lavandula_pedunculata;273;;;;;;;;;;
60;A;LPED;Lavandula_pedunculata;274;;;;;;;;;;
61;A;LPED;Lavandula_pedunculata;275;;;;;;;;;;
62;A;CLIB;Cistus_libanotis;366;;;;;;;;;;
63;A;CLIB;Cistus_libanotis;367;;;;;;;;;;
64;A;CLIB;Cistus_libanotis;368;;;;;;;;;;
65;A;CLIB;Cistus_libanotis;369;;;;;;;;;;
66;A;CLIB;Cistus_libanotis;370;;;;;;;;;;
67;A;CLIB;Cistus_libanotis;371;;;;;;;;;;
68;A;CLIB;Cistus_libanotis;372;;;;;;;;;;
69;A;CLIB;Cistus_libanotis;373;;;;;;;;;;
70;A;CLIB;Cistus_libanotis;374;;;;;;;;;;
71;A;CLIB;Cistus_libanotis;375;;;;;;;;;;
72;A;CLIB;Cistus_libanotis;376;;;;;;;;;;
73;A;CLIB;Cistus_libanotis;377;;;;;;;;;;
74;A;CLIB;Cistus_libanotis;378;;;;;;;;;;
75;A;CLIB;Cistus_libanotis;379;;;;;;;;;;
76;A;CLIB;Cistus_libanotis;380;;;;;;;;;;
77;A;HHAL;Halimium_halimifolium;471;;;;;;;;;;
78;A;HHAL;Halimium_halimifolium;472;;;;;;;;;;
79;A;HHAL;Halimium_halimifolium;473;;;;;;;;;;
80;A;HHAL;Halimium_halimifolium;474;;;;;;;;;;
81;A;HHAL;Halimium_halimifolium;475;1;36;0,0032;;;Verde;;;;
81;A;HHAL;Halimium_halimifolium;475;2;23;0,0036;;;;;;;
81;A;HHAL;Halimium_halimifolium;475;3;19;;;;Dejamos de pesar;;;;
