Plant_id;X;Y
378;721875.365;4099214.807
377;721882.319;4099218.615
376;721877.024;4099216.635
375;721891.271;4099210.484
374;721888.331;4099222.838
373;721893.614;4099214.448
372;721891.673;4099214.024
371;721885.173;4099222.188
370;721874.969;4099208.763
369;721883.13;4099220.798
368;721884.221;4099220.064
367;721880.303;4099212.632
366;721881.664;4099208.53
3;721887.344;4099206.34
275;721887.081;4099211.199
274;721887.129;4099220.776
273;721881.595;4099205.369
272;721888.808;4099216.969
271;721882.221;4099211.765
270;721877.319;4099207.033
269;721876.867;4099217.362
268;721881.787;4099213.787
267;721875.513;4099211.646
266;721877.427;4099213.646
265;721884.338;4099217.67
264;721882.808;4099221.021
263;721890.8;4099213.364
262;721886.202;4099208.327
261;721882.933;4099202.041
250;721880.865;4099207.643
249;721880.513;4099203.723
248;721877.031;4099206.796
247;721878.396;4099205.493
246;721891.009;4099211.263
245;721886.778;4099219.331
244;721885.378;4099211.82
243;721874.193;4099214.73
242;721880.42;4099213.212
241;721882.852;4099220.028
240;721885.447;4099201.966
239;721873.776;4099204.413
238;721884.344;4099205.079
237;721875.097;4099221.285
236;721887.476;4099213.769
2;721884.837;4099209.955
15;721871.951;4099219.168
14;721885.187;4099222.437
13;721885.772;4099219.422
120;721888.862;4099207.523
12;721890.753;4099218.831
119;721878.641;4099208.519
118;721878.478;4099211.668
117;721890.194;4099220.479
116;721886.51;4099213.121
115;721873.622;4099211.143
114;721885.932;4099222.86
113;721883.703;4099214.663
112;721881.546;4099221.112
111;721880.77;4099211.938
110;721887.095;4099209.896
11;721885.816;4099216.119
109;721880.759;4099208.092
108;721887.585;4099218.668
107;721884.209;4099205.798
106;721889.552;4099213.451
10;721878.925;4099205.347
1;721878.785;4099210.022
31;721808.422;4098793.423
32;721814.504;4098781.246
33;721825.646;4098793.653
34;721812.135;4098785.589
35;721820.619;4098782.09
36;721822.021;4098795.254
37;721813.505;4098794.146
38;721817.674;4098800.938
39;721806.182;4098784.742
40;721822.041;4098785.733
41;721816.227;4098786.795
42;721829.298;4098786.159
43;721810.732;4098778.686
44;721810.02;4098788.815
45;721830.461;4098798.39
136;721815.273;4098790.489
137;721811.492;4098792.564
138;721813.117;4098796.601
139;721816.153;4098782.807
140;721813.183;4098786.834
141;721821.907;4098790.321
142;721824.563;4098796.436
143;721826.892;4098785.581
144;721825.143;4098790.93
145;721824.133;4098785.628
146;721811.122;4098785.975
147;721816.415;4098791.373
148;721818.302;4098781.785
149;721808.713;4098790.857
150;721819.31;4098785.765
291;721824.683;4098786.953
292;721815.617;4098782.092
293;721819.538;4098781.733
294;721822.717;4098793.935
295;721824.264;4098791.771
296;721809.564;4098788.918
297;721813.783;4098791.422
298;721812.374;4098787.024
299;721807.9;4098795.486
300;721813.766;4098781.89
301;721814.528;4098788.412
302;721816.832;4098793.847
303;721817.633;4098785.798
304;721812.888;4098790.47
305;721817.435;4098790.762
251;721820.594;4098783.124
252;721819.619;4098795.301
253;721818.836;4098791.96
254;721825.059;4098785.332
255;721824.178;4098793.879
256;721818.023;4098778.732
257;721807.054;4098795.58
258;721814.527;4098778.82
259;721813.766;4098784.344
260;721815.201;4098792.917
436;721814.328;4098790.548
437;721828.649;4098795.135
469;721809.272;4098781.044
470;721823.963;4098781.152
