ID;Plot;Plant_sp;Plant_sp_complete;Plant_id
377;D;SGEN;Stauracanthus_genistoides;175
378;D;SGEN;Stauracanthus_genistoides;176
379;D;SGEN;Stauracanthus_genistoides;177
380;D;SGEN;Stauracanthus_genistoides;178
381;D;SGEN;Stauracanthus_genistoides;179
382;D;SGEN;Stauracanthus_genistoides;180
383;D;CLIB;Cistus_libanotis;396
384;D;CLIB;Cistus_libanotis;397
385;D;CLIB;Cistus_libanotis;398
386;D;CLIB;Cistus_libanotis;399
387;D;CLIB;Cistus_libanotis;400
388;D;CLIB;Cistus_libanotis;401
389;D;CLIB;Cistus_libanotis;402
390;D;CLIB;Cistus_libanotis;403
391;D;CLIB;Cistus_libanotis;404
392;D;CLIB;Cistus_libanotis;405
393;D;CLIB;Cistus_libanotis;406
394;D;CLIB;Cistus_libanotis;407
395;D;CLIB;Cistus_libanotis;408
396;D;CLIB;Cistus_libanotis;409
397;D;CLIB;Cistus_libanotis;410
398;D;AVEL;Armeria_velutina;438
399;D;AVEL;Armeria_velutina;439
400;D;AVEL;Armeria_velutina;440
401;D;AVEL;Armeria_velutina;441
402;D;AVEL;Armeria_velutina;442
403;D;AVEL;Armeria_velutina;443
404;D;AVEL;Armeria_velutina;444
405;D;AVEL;Armeria_velutina;445
406;D;AVEL;Armeria_velutina;446
407;D;AVEL;Armeria_velutina;447
408;D;AVEL;Armeria_velutina;448
409;D;AVEL;Armeria_velutina;449
410;D;HHAL;Halimium_halimifolium;516
411;D;HHAL;Halimium_halimifolium;517
412;D;HHAL;Halimium_halimifolium;518
413;D;HHAL;Halimium_halimifolium;519
414;D;HHAL;Halimium_halimifolium;520
415;D;HHAL;Halimium_halimifolium;521
416;D;HHAL;Halimium_halimifolium;522
417;D;HHAL;Halimium_halimifolium;523
418;D;HHAL;Halimium_halimifolium;524
419;D;HHAL;Halimium_halimifolium;525
420;D;HHAL;Halimium_halimifolium;526
421;D;HHAL;Halimium_halimifolium;527
422;D;HHAL;Halimium_halimifolium;528
423;D;HHAL;Halimium_halimifolium;529
424;D;HHAL;Halimium_halimifolium;530
425;D;TMAS;Thymus_mastichina;591
426;D;TMAS;Thymus_mastichina;592
427;D;TMAS;Thymus_mastichina;593
428;D;TMAS;Thymus_mastichina;594
429;D;TMAS;Thymus_mastichina;595
430;D;TMAS;Thymus_mastichina;596
431;D;TMAS;Thymus_mastichina;597
432;D;TMAS;Thymus_mastichina;598
433;D;TMAS;Thymus_mastichina;599
434;D;TMAS;Thymus_mastichina;600
435;D;HPIC;Helichrysum_picardii;656
436;D;HPIC;Helichrysum_picardii;657
437;D;HPIC;Helichrysum_picardii;658
438;D;HPIC;Helichrysum_picardii;659
439;D;HPIC;Helichrysum_picardii;660
440;D;HPIC;Helichrysum_picardii;661
441;D;HPIC;Helichrysum_picardii;662
442;D;HPIC;Helichrysum_picardii;663
443;D;HPIC;Helichrysum_picardii;664
444;D;HPIC;Helichrysum_picardii;665
445;D;HPIC;Helichrysum_picardii;666
446;D;HPIC;Helichrysum_picardii;667
447;D;HPIC;Helichrysum_picardii;668
448;D;HPIC;Helichrysum_picardii;669
449;D;HPIC;Helichrysum_picardii;670
450;D;HPIC;Helichrysum_picardii;671
451;D;HPIC;Helichrysum_picardii;672
452;D;HPIC;Helichrysum_picardii;673
453;D;HPIC;Helichrysum_picardii;674
454;D;HPIC;Helichrysum_picardii;675
455;E;UPAR;Ulex_parviflorus;61
