ID;Plot;Plant_sp;Plant_sp_complete;Plant_id;N_fruit;N_seeds;Weight;N_predated_seeds;Antagonist_collected;Notes
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
124;B;ROFF;Rosmarinus_officinalis;27;1;3;;;;
;;;;;2;4;;;;
;;;;;3;2;;;;
;;;;;4;3;;;;
;;;;;5;4;;;;
;;;;;6;3;;;;
;;;;;7;3;;;;
;;;;;8;2;;;;
;;;;;9;1;;;;
;;;;;10;NA;;;;
125;B;ROFF;Rosmarinus_officinalis;28;1;4;;;;
;;;;;2;4;;;;
;;;;;3;3;;;;
;;;;;4;3;;;;
;;;;;5;4;;;;
;;;;;6;2;;;;
;;;;;7;2;;;;
;;;;;8;3;;;;
;;;;;9;3;;;;
;;;;;10;3;;;;
126;B;ROFF;Rosmarinus_officinalis;29;1;4;;;;
;;;;;2;4;;;;
;;;;;3;3;;;;
;;;;;4;3;;;;
;;;;;5;2;;;;
;;;;;6;2;;;;
;;;;;7;2;;;;
;;;;;8;3;;;;
;;;;;9;1;;;;
;;;;;10;1;;;;
127;B;ROFF;Rosmarinus_officinalis;30;1;1;;;;
;;;;;2;3;;;;
;;;;;3;2;;;;
;;;;;4;3;;;;
;;;;;5;2;;;;
;;;;;6;2;;;;
;;;;;7;1;;;;
;;;;;8;2;;;;
;;;;;9;1;;;;
;;;;;10;3;;;;
128;B;HCOM;Halimium_commutatum;121;;;;;;
129;B;HCOM;Halimium_commutatum;122;;;;;;
130;B;HCOM;Halimium_commutatum;123;;;;;;
131;B;HCOM;Halimium_commutatum;124;;;;;;
132;B;HCOM;Halimium_commutatum;125;;;;;;
133;B;HCOM;Halimium_commutatum;126;;;;;;
134;B;HCOM;Halimium_commutatum;127;;;;;;
135;B;HCOM;Halimium_commutatum;128;;;;;;
136;B;HCOM;Halimium_commutatum;129;;;;;;
137;B;HCOM;Halimium_commutatum;130;;;;;;
138;B;HCOM;Halimium_commutatum;131;;;;;;
139;B;HCOM;Halimium_commutatum;132;;;;;;
140;B;HCOM;Halimium_commutatum;133;;;;;;
141;B;HCOM;Halimium_commutatum;134;;;;;;
142;B;HCOM;Halimium_commutatum;135;;;;;;
143;B;SGEN;Stauracanthus_genistoides;226;;;;;;
144;B;SGEN;Stauracanthus_genistoides;227;;;;;;
145;B;SGEN;Stauracanthus_genistoides;228;;;;;;
146;B;SGEN;Stauracanthus_genistoides;229;;;;;;
147;B;SGEN;Stauracanthus_genistoides;230;;;;;;
148;B;SGEN;Stauracanthus_genistoides;231;;;;;;
149;B;SGEN;Stauracanthus_genistoides;232;;;;;;
150;B;SGEN;Stauracanthus_genistoides;233;;;;;;
151;B;SGEN;Stauracanthus_genistoides;234;;;;;;
152;B;SGEN;Stauracanthus_genistoides;235;;;;;;
153;B;LPED;Lavandula_pedunculata;276;1;2;;;;
;;;;;2;1;;;;
;;;;;3;2;;;;
;;;;;4;2;;;;
;;;;;5;1;;;;
;;;;;6;1;;;;
;;;;;7;1;;;;
;;;;;8;2;;;;
;;;;;9;3;;;;
;;;;;10;2;;;;
154;B;LPED;Lavandula_pedunculata;277;1;4;;;;
;;;;;2;1;;;;
;;;;;3;2;;;;
;;;;;4;2;;;;
;;;;;5;3;;;;
;;;;;6;2;;;;
;;;;;7;2;;;;
;;;;;8;1;;;;
;;;;;9;2;;;;
;;;;;10;2;;;;
155;B;LPED;Lavandula_pedunculata;278;1;1;;;;
;;;;;2;1;;;;
;;;;;3;2;;;;
;;;;;4;2;;;;
;;;;;5;1;;;;
;;;;;6;3;;;;
;;;;;7;2;;;;
