ID;Plot;Plant_sp;Plant_id;Branch_inflorescence_id;Flowers_produced;Seeds_produced
445;D;HPIC;666;;;
446;D;HPIC;667;;;
447;D;HPIC;668;;;
448;D;HPIC;669;;;
449;D;HPIC;670;;;
450;D;HPIC;671;;;
451;D;HPIC;672;;;
452;D;HPIC;673;;;
453;D;HPIC;674;;;
454;D;HPIC;675;;;
510;E;LPED;321;;;
511;E;LPED;322;;;
512;E;LPED;323;;;
513;E;LPED;324;;;
514;E;LPED;325;;;
515;E;LPED;326;;;
516;E;LPED;327;;;
517;E;LPED;328;;;
518;E;LPED;329;;;
519;E;LPED;330;;;
520;E;LPED;331;;;
521;E;LPED;332;;;
522;E;LPED;333;;;
523;E;LPED;334;;;
524;E;LPED;335;;;
549;E;AVEL;450;1;50;18
;E;AVEL;450;2;59;26
;E;AVEL;450;3;49;17
;E;AVEL;450;4;52;22
;E;AVEL;450;5;33;16
550;E;AVEL;451;1;35;21
;E;AVEL;451;2;42;30
;E;AVEL;451;3;54;36
;E;AVEL;451;4;56;37
;E;AVEL;451;5;39;27
551;E;AVEL;452;1;43;27
;E;AVEL;452;2;28;20
;E;AVEL;452;3;40;26
;E;AVEL;452;4;42;30
;E;AVEL;452;5;45;29
552;E;AVEL;453;1;41;31
;E;AVEL;453;2;48;44
;E;AVEL;453;3;59;50
;E;AVEL;453;4;35;19
;E;AVEL;453;5;39;28
553;E;AVEL;454;1;22;18
;E;AVEL;454;2;22;16
;E;AVEL;454;3;26;21
;E;AVEL;454;4;23;19
;E;AVEL;454;5;19;16
554;E;AVEL;455;1;62;36
;E;AVEL;455;2;47;38
;E;AVEL;455;3;40;31
;E;AVEL;455;4;43;25
;E;AVEL;455;5;39;18
555;E;AVEL;456;1;67;40
;E;AVEL;456;2;33;21
;E;AVEL;456;3;39;26
;E;AVEL;456;4;37;21
;E;AVEL;456;5;54;40
556;E;AVEL;457;1;47;9
;E;AVEL;457;2;26;9
;E;AVEL;457;3;39;8
;E;AVEL;457;4;44;8
;E;AVEL;457;5;48;7
557;E;AVEL;458;1;33;25
;E;AVEL;458;2;27;23
;E;AVEL;458;3;24;14
;E;AVEL;458;4;33;17
;E;AVEL;458;5;22;13
558;E;AVEL;459;1;29;19
;E;AVEL;459;2;31;17
;E;AVEL;459;3;26;13
;E;AVEL;459;4;28;13
;E;AVEL;459;5;35;21
574;E;TMAS;601;;;
575;E;TMAS;602;;;
576;E;TMAS;603;;;
577;E;TMAS;604;;;
578;E;TMAS;605;;;
579;E;TMAS;606;;;
580;E;TMAS;607;;;
581;E;TMAS;608;;;
582;E;TMAS;609;;;
583;E;TMAS;610;;;
584;F;LPED;336;;;
585;F;LPED;337;;;
586;F;LPED;338;;;
587;F;LPED;339;;;
588;F;LPED;340;;;
589;F;LPED;341;;;
590;F;LPED;342;;;
591;F;LPED;343;;;
592;F;LPED;344;;;
593;F;LPED;345;;;
594;F;LPED;346;;;
595;F;LPED;347;;;
596;F;LPED;348;;;
597;F;LPED;349;;;
598;F;LPED;350;;;
660;F;AVEL;460;1;25;15
;F;AVEL;460;2;43;17
;F;AVEL;460;3;42;27
;F;AVEL;460;4;29;18
;F;AVEL;460;5;33;15
661;F;AVEL;461;1;28;23
;F;AVEL;461;2;27;17
;F;AVEL;461;3;33;22
;F;AVEL;461;4;30;11
;F;AVEL;461;5;12;6
662;F;AVEL;462;1;31;12
;F;AVEL;462;2;17;4
;F;AVEL;462;3;22;8
;F;AVEL;462;4;18;10
;F;AVEL;462;5;20;12
663;F;AVEL;463;1;35;26
;F;AVEL;463;2;7;6
;F;AVEL;463;3;31;24
;F;AVEL;463;4;31;23
;F;AVEL;463;5;22;16
664;F;AVEL;464;1;34;24
;F;AVEL;464;2;39;23
;F;AVEL;464;3;42;30
;F;AVEL;464;4;47;29
;F;AVEL;464;5;48;25
665;F;AVEL;465;1;39;29
;F;AVEL;465;2;12;10
;F;AVEL;465;3;41;24
;F;AVEL;465;4;24;18
;F;AVEL;465;5;13;13
666;F;AVEL;466;1;63;21
;F;AVEL;466;2;43;9
;F;AVEL;466;3;44;15
;F;AVEL;466;4;54;15
;F;AVEL;466;5;43;15
667;F;AVEL;467;1;39;23
;F;AVEL;467;2;27;14
;F;AVEL;467;3;29;15
;F;AVEL;467;4;32;14
;F;AVEL;467;5;25;6
668;F;AVEL;468;1;47;22
;F;AVEL;468;2;47;26
;F;AVEL;468;3;41;26
;F;AVEL;468;4;26;16
;F;AVEL;468;5;28;17
684;F;TMAS;611;;;
685;F;TMAS;612;;;
686;F;TMAS;613;;;
687;F;TMAS;614;;;
688;F;TMAS;615;;;
689;F;TMAS;616;;;
690;F;TMAS;617;;;
691;F;TMAS;618;;;
692;F;TMAS;619;;;
693;F;TMAS;620;;;
694;F;TMAS;621;;;
695;F;TMAS;622;;;
696;F;TMAS;623;;;
697;F;TMAS;624;;;
698;F;TMAS;625;;;
699;F;HPIC;686;;;
700;F;HPIC;687;;;
